outcome,variable,twfe_coef,twfe_se,twfe_p,pooled_coef,pooled_se,pooled_p
rn_per_10k_65,share_75plus,16.3162,8.8779,0.0664,-53.9832,5.9234,0.0
rn_per_10k_65,population_growth_rate,301.7311,311.6109,0.3332,-245.1762,428.2938,0.5672
rn_per_10k_65,hosp_beds_per_1k,-2.9081,5.1777,0.5745,17.6766,8.8776,0.0468
rn_per_10k_65,nh_beds_per_65plus_ahrf,17.8424,21.9366,0.4162,33.8825,60.2893,0.5743
rn_per_10k_65,poverty_rate,-0.4935,3.0118,0.8699,-7.6188,3.3374,0.0227
rn_per_10k_65,bachelors_plus_share,-4.0151,4.0979,0.3275,12.5171,2.3021,0.0
rn_per_10k_65,ipeds_rn_per_10k_lag1,-0.1988,1.0183,0.8453,0.9809,1.8811,0.6022
rn_per_10k_65,forgn_born_popn_pct_23,,,,-6.264,7.1918,0.384
lpn_per_10k_65,share_75plus,9.9317,6.7185,0.1397,-9.1125,2.3684,0.0001
lpn_per_10k_65,population_growth_rate,-65.4066,135.8432,0.6303,-1039.2489,435.6976,0.0173
lpn_per_10k_65,hosp_beds_per_1k,-9.8243,2.8802,0.0007,6.5457,2.7937,0.0193
lpn_per_10k_65,nh_beds_per_65plus_ahrf,-15.6328,3.2143,0.0,11.3987,15.1396,0.4517
lpn_per_10k_65,poverty_rate,0.2221,1.6003,0.8897,1.1612,1.8975,0.5407
lpn_per_10k_65,bachelors_plus_share,3.2371,1.7006,0.0573,-1.9796,1.2152,0.1036
lpn_per_10k_65,ipeds_lpn_per_10k_lag1,1.6262,0.5541,0.0034,4.3553,0.9942,0.0
lpn_per_10k_65,forgn_born_popn_pct_23,,,,-4.3553,3.3533,0.1943
